"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","GBR","1101","United Kingdom","WLD"," World",2021,"Export",6,97720.683
"H5","GBR","1101","United Kingdom","WLD"," World",2021,"Import",5,56373.397
"H5","GBR","1101","United Kingdom","WLD"," World",2022,"Export",6,147119.847
"H5","GBR","1101","United Kingdom","WLD"," World",2022,"Import",5,67814.598
"H5","GBR","1101","United Kingdom","WLD"," World",2023,"Export",6,154014.434
"H5","GBR","1101","United Kingdom","WLD"," World",2023,"Import",5,59280.08
"H5","GBR","1101","United Kingdom","WLD"," World",2024,"Export",6,144510.749
"H5","GBR","1101","United Kingdom","WLD"," World",2024,"Import",5,63122.127
"H5","GBR","1102","United Kingdom","WLD"," World",2017,"Export",6,8502.054
"H5","GBR","1102","United Kingdom","WLD"," World",2017,"Import",5,24475.882
"H5","GBR","1102","United Kingdom","WLD"," World",2018,"Export",6,10246.36
"H5","GBR","1102","United Kingdom","WLD"," World",2018,"Import",5,35496.286
"H5","GBR","1102","United Kingdom","WLD"," World",2019,"Export",6,11069.834
"H5","GBR","1102","United Kingdom","WLD"," World",2019,"Import",5,36911.458
"H5","GBR","1102","United Kingdom","WLD"," World",2020,"Export",6,14200.079
"H5","GBR","1102","United Kingdom","WLD"," World",2020,"Import",5,36464.686
"H5","GBR","1102","United Kingdom","WLD"," World",2021,"Export",6,10776.359
"H5","GBR","1102","United Kingdom","WLD"," World",2021,"Import",5,42289.086
"H5","GBR","1102","United Kingdom","WLD"," World",2022,"Export",6,11713.488
"H5","GBR","1102","United Kingdom","WLD"," World",2022,"Import",5,44074.282
"H5","GBR","1102","United Kingdom","WLD"," World",2023,"Export",6,10304.303
"H5","GBR","1102","United Kingdom","WLD"," World",2023,"Import",5,50477.489
"H5","GBR","1102","United Kingdom","WLD"," World",2024,"Export",6,16747.716
"H5","GBR","1102","United Kingdom","WLD"," World",2024,"Import",5,54950.732
"H5","GBR","1103","United Kingdom","WLD"," World",2017,"Export",6,21462.169
"H5","GBR","1103","United Kingdom","WLD"," World",2017,"Import",5,16823.081
"H5","GBR","1103","United Kingdom","WLD"," World",2018,"Export",6,7105.993
"H5","GBR","1103","United Kingdom","WLD"," World",2018,"Import",5,34555.287
"H5","GBR","1103","United Kingdom","WLD"," World",2019,"Export",6,7619.468
"H5","GBR","1103","United Kingdom","WLD"," World",2019,"Import",5,37399.36
"H5","GBR","1103","United Kingdom","WLD"," World",2020,"Export",6,9404.994
"H5","GBR","1103","United Kingdom","WLD"," World",2020,"Import",5,36692.594
"H5","GBR","1103","United Kingdom","WLD"," World",2021,"Export",6,7492.155
"H5","GBR","1103","United Kingdom","WLD"," World",2021,"Import",5,43764.15
"H5","GBR","1103","United Kingdom","WLD"," World",2022,"Export",6,7855.991
"H5","GBR","1103","United Kingdom","WLD"," World",2022,"Import",5,41580.147
"H5","GBR","1103","United Kingdom","WLD"," World",2023,"Export",6,9196.278
"H5","GBR","1103","United Kingdom","WLD"," World",2023,"Import",5,43013.448
"H5","GBR","1103","United Kingdom","WLD"," World",2024,"Export",6,9247.793
"H5","GBR","1103","United Kingdom","WLD"," World",2024,"Import",5,40811.985
"H5","GBR","1104","United Kingdom","WLD"," World",2017,"Export",6,117546
"H5","GBR","1104","United Kingdom","WLD"," World",2017,"Import",5,30619.103
"H5","GBR","1104","United Kingdom","WLD"," World",2018,"Export",6,95602.749
"H5","GBR","1104","United Kingdom","WLD"," World",2018,"Import",5,28850.868
"H5","GBR","1104","United Kingdom","WLD"," World",2019,"Export",6,91376.33
"H5","GBR","1104","United Kingdom","WLD"," World",2019,"Import",5,27371.514
"H5","GBR","1104","United Kingdom","WLD"," World",2020,"Export",6,99035.028
"H5","GBR","1104","United Kingdom","WLD"," World",2020,"Import",5,28998.015
"H5","GBR","1104","United Kingdom","WLD"," World",2021,"Export",6,110839.704
"H5","GBR","1104","United Kingdom","WLD"," World",2021,"Import",5,24875.302
"H5","GBR","1104","United Kingdom","WLD"," World",2022,"Export",6,107443.2
"H5","GBR","1104","United Kingdom","WLD"," World",2022,"Import",5,34713.788
"H5","GBR","1104","United Kingdom","WLD"," World",2023,"Export",6,94046.108
"H5","GBR","1104","United Kingdom","WLD"," World",2023,"Import",5,27394.175
"H5","GBR","1104","United Kingdom","WLD"," World",2024,"Export",6,89708.635
"H5","GBR","1104","United Kingdom","WLD"," World",2024,"Import",5,36573.057
"H5","GBR","1105","United Kingdom","WLD"," World",2017,"Export",6,4518.139
"H5","GBR","1105","United Kingdom","WLD"," World",2017,"Import",5,52977.182
"H5","GBR","1105","United Kingdom","WLD"," World",2018,"Export",6,5902.1
"H5","GBR","1105","United Kingdom","WLD"," World",2018,"Import",5,67387.984
"H5","GBR","1105","United Kingdom","WLD"," World",2019,"Export",6,5889.457
"H5","GBR","1105","United Kingdom","WLD"," World",2019,"Import",5,71128.034
"H5","GBR","1105","United Kingdom","WLD"," World",2020,"Export",6,4400.001
"H5","GBR","1105","United Kingdom","WLD"," World",2020,"Import",5,74181.365
"H5","GBR","1105","United Kingdom","WLD"," World",2021,"Export",6,10963.82
"H5","GBR","1105","United Kingdom","WLD"," World",2021,"Import",5,67238.007
"H5","GBR","1105","United Kingdom","WLD"," World",2022,"Export",6,10145.441
"H5","GBR","1105","United Kingdom","WLD"," World",2022,"Import",5,71655.268
"H5","GBR","1105","United Kingdom","WLD"," World",2023,"Export",6,13449.633
"H5","GBR","1105","United Kingdom","WLD"," World",2023,"Import",5,100691.94
"H5","GBR","1105","United Kingdom","WLD"," World",2024,"Export",6,16217.032
"H5","GBR","1105","United Kingdom","WLD"," World",2024,"Import",5,108680.579
"H5","GBR","1106","United Kingdom","WLD"," World",2017,"Export",6,10951.189
"H5","GBR","1106","United Kingdom","WLD"," World",2017,"Import",5,22693.798
"H5","GBR","1106","United Kingdom","WLD"," World",2018,"Export",6,9079.859
"H5","GBR","1106","United Kingdom","WLD"," World",2018,"Import",5,29242.342
"H5","GBR","1106","United Kingdom","WLD"," World",2019,"Export",6,10718.561
"H5","GBR","1106","United Kingdom","WLD"," World",2019,"Import",5,32001.242
"H5","GBR","1106","United Kingdom","WLD"," World",2020,"Export",6,9824.423
"H5","GBR","1106","United Kingdom","WLD"," World",2020,"Import",5,33688.79
"H5","GBR","1106","United Kingdom","WLD"," World",2021,"Export",6,10979.142
"H5","GBR","1106","United Kingdom","WLD"," World",2021,"Import",5,28631.932
"H5","GBR","1106","United Kingdom","WLD"," World",2022,"Export",6,11486.102
"H5","GBR","1106","United Kingdom","WLD"," World",2022,"Import",5,38627.29
"H5","GBR","1106","United Kingdom","WLD"," World",2023,"Export",6,11385.459
"H5","GBR","1106","United Kingdom","WLD"," World",2023,"Import",5,41939.916
"H5","GBR","1106","United Kingdom","WLD"," World",2024,"Export",6,10762.297
"H5","GBR","1106","United Kingdom","WLD"," World",2024,"Import",5,44532.502
"H5","GBR","1107","United Kingdom","WLD"," World",2017,"Export",6,135112.148
"H5","GBR","1107","United Kingdom","WLD"," World",2017,"Import",5,46690.976
"H5","GBR","1107","United Kingdom","WLD"," World",2018,"Export",6,134696.847
"H5","GBR","1107","United Kingdom","WLD"," World",2018,"Import",5,34189.69
"H5","GBR","1107","United Kingdom","WLD"," World",2019,"Export",6,137232.121
"H5","GBR","1107","United Kingdom","WLD"," World",2019,"Import",5,40366.805
"H5","GBR","1107","United Kingdom","WLD"," World",2020,"Export",6,109229.663
"H5","GBR","1107","United Kingdom","WLD"," World",2020,"Import",5,25380.63
"H5","GBR","1107","United Kingdom","WLD"," World",2021,"Export",6,125658.052
"H5","GBR","1107","United Kingdom","WLD"," World",2021,"Import",5,28004.592
"H5","GBR","1107","United Kingdom","WLD"," World",2022,"Export",6,129071.859
"H5","GBR","1107","United Kingdom","WLD"," World",2022,"Import",5,57501.957
"H5","GBR","1107","United Kingdom","WLD"," World",2023,"Export",6,142348.339
"H5","GBR","1107","United Kingdom","WLD"," World",2023,"Import",5,73020.322
"H5","GBR","1107","United Kingdom","WLD"," World",2024,"Export",6,134873.051
"H5","GBR","1107","United Kingdom","WLD"," World",2024,"Import",5,79172.104
"H5","GBR","1108","United Kingdom","WLD"," World",2017,"Export",6,7841.115
"H5","GBR","1108","United Kingdom","WLD"," World",2017,"Import",5,151861.885
"H5","GBR","1108","United Kingdom","WLD"," World",2018,"Export",6,10081.132
"H5","GBR","1108","United Kingdom","WLD"," World",2018,"Import",5,164634.23
"H5","GBR","1108","United Kingdom","WLD"," World",2019,"Export",6,8466.249
"H5","GBR","1108","United Kingdom","WLD"," World",2019,"Import",5,178349.43
"H5","GBR","1108","United Kingdom","WLD"," World",2020,"Export",6,12216.101
"H5","GBR","1108","United Kingdom","WLD"," World",2020,"Import",5,181864.806
"H5","GBR","1108","United Kingdom","WLD"," World",2021,"Export",6,5293.832
"H5","GBR","1108","United Kingdom","WLD"," World",2021,"Import",5,161721.428
"H5","GBR","1108","United Kingdom","WLD"," World",2022,"Export",6,5441.477
"H5","GBR","1108","United Kingdom","WLD"," World",2022,"Import",5,196844.061
"H5","GBR","1108","United Kingdom","WLD"," World",2023,"Export",6,7410.794
"H5","GBR","1108","United Kingdom","WLD"," World",2023,"Import",5,206847.217
"H5","GBR","1108","United Kingdom","WLD"," World",2024,"Export",6,5933.166
"H5","GBR","1108","United Kingdom","WLD"," World",2024,"Import",5,198066.981
"H5","GBR","1109","United Kingdom","WLD"," World",2017,"Export",6,61022.495
"H5","GBR","1109","United Kingdom","WLD"," World",2017,"Import",5,43661.688
"H5","GBR","1109","United Kingdom","WLD"," World",2018,"Export",6,56645.916
"H5","GBR","1109","United Kingdom","WLD"," World",2018,"Import",5,46095.497
"H5","GBR","1109","United Kingdom","WLD"," World",2019,"Export",6,31635.485
"H5","GBR","1109","United Kingdom","WLD"," World",2019,"Import",5,44425.368
"H5","GBR","1109","United Kingdom","WLD"," World",2020,"Export",6,59640.242
"H5","GBR","1109","United Kingdom","WLD"," World",2020,"Import",5,66326.296
"H5","GBR","1109","United Kingdom","WLD"," World",2021,"Export",6,42562.971
"H5","GBR","1109","United Kingdom","WLD"," World",2021,"Import",5,75877.887
"H5","GBR","1109","United Kingdom","WLD"," World",2022,"Export",6,60435.204
"H5","GBR","1109","United Kingdom","WLD"," World",2022,"Import",5,66401.209
"H5","GBR","1109","United Kingdom","WLD"," World",2023,"Export",6,11228.213
"H5","GBR","1109","United Kingdom","WLD"," World",2023,"Import",5,85033.607
"H5","GBR","1109","United Kingdom","WLD"," World",2024,"Export",6,67051.508
"H5","GBR","1109","United Kingdom","WLD"," World",2024,"Import",5,70601.55
"H5","GBR","1201","United Kingdom","WLD"," World",2017,"Export",6,3293.392
"H5","GBR","1201","United Kingdom","WLD"," World",2017,"Import",5,315740.35
"H5","GBR","1201","United Kingdom","WLD"," World",2018,"Export",6,7592.243
"H5","GBR","1201","United Kingdom","WLD"," World",2018,"Import",5,328940.287
"H5","GBR","1201","United Kingdom","WLD"," World",2019,"Export",6,8163.786
"H5","GBR","1201","United Kingdom","WLD"," World",2019,"Import",5,250887.385
"H5","GBR","1201","United Kingdom","WLD"," World",2020,"Export",6,8823.065
"H5","GBR","1201","United Kingdom","WLD"," World",2020,"Import",5,362920.115
"H5","GBR","1201","United Kingdom","WLD"," World",2021,"Export",6,583.937
"H5","GBR","1201","United Kingdom","WLD"," World",2021,"Import",5,335009.095
"H5","GBR","1201","United Kingdom","WLD"," World",2022,"Export",6,813.027
"H5","GBR","1201","United Kingdom","WLD"," World",2022,"Import",5,577354.802
"H5","GBR","1201","United Kingdom","WLD"," World",2023,"Export",6,1963.517
"H5","GBR","1201","United Kingdom","WLD"," World",2023,"Import",5,526247.999
"H5","GBR","1201","United Kingdom","WLD"," World",2024,"Export",6,1996.554
"H5","GBR","1201","United Kingdom","WLD"," World",2024,"Import",5,508767.172
"H5","GBR","1202","United Kingdom","WLD"," World",2017,"Export",6,1567.443
"H5","GBR","1202","United Kingdom","WLD"," World",2017,"Import",5,143808.943
"H5","GBR","1202","United Kingdom","WLD"," World",2018,"Export",6,2565.476
"H5","GBR","1202","United Kingdom","WLD"," World",2018,"Import",5,130804.749
"H5","GBR","1202","United Kingdom","WLD"," World",2019,"Export",6,3096.429
"H5","GBR","1202","United Kingdom","WLD"," World",2019,"Import",5,124495.889
"H5","GBR","1202","United Kingdom","WLD"," World",2020,"Export",6,4735.538
"H5","GBR","1202","United Kingdom","WLD"," World",2020,"Import",5,183801.668
"H5","GBR","1202","United Kingdom","WLD"," World",2021,"Export",6,4900.935
"H5","GBR","1202","United Kingdom","WLD"," World",2021,"Import",5,185274.668
"H5","GBR","1202","United Kingdom","WLD"," World",2022,"Export",6,3287.279
"H5","GBR","1202","United Kingdom","WLD"," World",2022,"Import",5,178551.113
"H5","GBR","1202","United Kingdom","WLD"," World",2023,"Export",6,4055.652
"H5","GBR","1202","United Kingdom","WLD"," World",2023,"Import",5,186713.214
"H5","GBR","1202","United Kingdom","WLD"," World",2024,"Export",6,3860.208
"H5","GBR","1202","United Kingdom","WLD"," World",2024,"Import",5,206475.466
"H5","GBR","1203","United Kingdom","WLD"," World",2017,"Export",6,65.973
"H5","GBR","1203","United Kingdom","WLD"," World",2017,"Import",5,410.146
"H5","GBR","1203","United Kingdom","WLD"," World",2018,"Export",6,94.507
"H5","GBR","1203","United Kingdom","WLD"," World",2018,"Import",5,456.898
"H5","GBR","1203","United Kingdom","WLD"," World",2019,"Export",6,87.801
"H5","GBR","1203","United Kingdom","WLD"," World",2019,"Import",5,478.077
"H5","GBR","1203","United Kingdom","WLD"," World",2020,"Export",6,112.897
"H5","GBR","1203","United Kingdom","WLD"," World",2020,"Import",5,346.413
"H5","GBR","1203","United Kingdom","WLD"," World",2021,"Export",6,111.659
"H5","GBR","1203","United Kingdom","WLD"," World",2021,"Import",5,270.188
"H5","GBR","1203","United Kingdom","WLD"," World",2022,"Export",6,113.903
"H5","GBR","1203","United Kingdom","WLD"," World",2022,"Import",5,297.846
"H5","GBR","1203","United Kingdom","WLD"," World",2023,"Export",6,238.264
"H5","GBR","1203","United Kingdom","WLD"," World",2023,"Import",5,194.529
"H5","GBR","1203","United Kingdom","WLD"," World",2024,"Export",6,199.454
"H5","GBR","1203","United Kingdom","WLD"," World",2024,"Import",5,11.313
"H5","GBR","1204","United Kingdom","WLD"," World",2017,"Export",6,17409.995
"H5","GBR","1204","United Kingdom","WLD"," World",2017,"Import",5,15106.643
"H5","GBR","1204","United Kingdom","WLD"," World",2018,"Export",6,17348.234
"H5","GBR","1204","United Kingdom","WLD"," World",2018,"Import",5,13962.841
"H5","GBR","1204","United Kingdom","WLD"," World",2019,"Export",6,12250.611
"H5","GBR","1204","United Kingdom","WLD"," World",2019,"Import",5,16468.753
"H5","GBR","1204","United Kingdom","WLD"," World",2020,"Export",6,19702.447
"H5","GBR","1204","United Kingdom","WLD"," World",2020,"Import",5,16099.878
"H5","GBR","1204","United Kingdom","WLD"," World",2021,"Export",6,23057.094
"H5","GBR","1204","United Kingdom","WLD"," World",2021,"Import",5,18397.098
"H5","GBR","1204","United Kingdom","WLD"," World",2022,"Export",6,23475.05
"H5","GBR","1204","United Kingdom","WLD"," World",2022,"Import",5,23240.251
"H5","GBR","1204","United Kingdom","WLD"," World",2023,"Export",6,15903.73
"H5","GBR","1204","United Kingdom","WLD"," World",2023,"Import",5,18263.951
"H5","GBR","1204","United Kingdom","WLD"," World",2024,"Export",6,11357.071
"H5","GBR","1204","United Kingdom","WLD"," World",2024,"Import",5,17430.257
"H5","GBR","1205","United Kingdom","WLD"," World",2017,"Export",6,72491.153
"H5","GBR","1205","United Kingdom","WLD"," World",2017,"Import",5,154000.768
"H5","GBR","1205","United Kingdom","WLD"," World",2018,"Export",6,65805.191
"H5","GBR","1205","United Kingdom","WLD"," World",2018,"Import",5,93242.423
"H5","GBR","1205","United Kingdom","WLD"," World",2019,"Export",6,37829.759
"H5","GBR","1205","United Kingdom","WLD"," World",2019,"Import",5,162378.673
"H5","GBR","1205","United Kingdom","WLD"," World",2020,"Export",6,55952.088
"H5","GBR","1205","United Kingdom","WLD"," World",2020,"Import",5,235756.2
"H5","GBR","1205","United Kingdom","WLD"," World",2021,"Export",6,21212.311
"H5","GBR","1205","United Kingdom","WLD"," World",2021,"Import",5,575690.189
"H5","GBR","1205","United Kingdom","WLD"," World",2022,"Export",6,25716.445
"H5","GBR","1205","United Kingdom","WLD"," World",2022,"Import",5,623217.306
"H5","GBR","1205","United Kingdom","WLD"," World",2023,"Export",6,30234.059
"H5","GBR","1205","United Kingdom","WLD"," World",2023,"Import",5,406955.845
"H5","GBR","1205","United Kingdom","WLD"," World",2024,"Export",6,20201.948
"H5","GBR","1205","United Kingdom","WLD"," World",2024,"Import",5,401423.12
"H5","GBR","1206","United Kingdom","WLD"," World",2017,"Export",6,1024.52
"H5","GBR","1206","United Kingdom","WLD"," World",2017,"Import",5,30222.724
"H5","GBR","1206","United Kingdom","WLD"," World",2018,"Export",6,1283.145
"H5","GBR","1206","United Kingdom","WLD"," World",2018,"Import",5,33565.755
"H5","GBR","1206","United Kingdom","WLD"," World",2019,"Export",6,1966.681
"H5","GBR","1206","United Kingdom","WLD"," World",2019,"Import",5,31114.95
"H5","GBR","1206","United Kingdom","WLD"," World",2020,"Export",6,11336.136
"H5","GBR","1206","United Kingdom","WLD"," World",2020,"Import",5,52521.692
"H5","GBR","1206","United Kingdom","WLD"," World",2021,"Export",6,12997.422
"H5","GBR","1206","United Kingdom","WLD"," World",2021,"Import",5,61681.812
"H5","GBR","1206","United Kingdom","WLD"," World",2022,"Export",6,4242.535
"H5","GBR","1206","United Kingdom","WLD"," World",2022,"Import",5,92341.923
"H5","GBR","1206","United Kingdom","WLD"," World",2023,"Export",6,1232.668
"H5","GBR","1206","United Kingdom","WLD"," World",2023,"Import",5,65105.645
"H5","GBR","1206","United Kingdom","WLD"," World",2024,"Export",6,853.45
"H5","GBR","1206","United Kingdom","WLD"," World",2024,"Import",5,60359.425
"H5","GBR","1207","United Kingdom","WLD"," World",2017,"Export",6,12167.96
"H5","GBR","1207","United Kingdom","WLD"," World",2017,"Import",5,59303.107
"H5","GBR","1207","United Kingdom","WLD"," World",2018,"Export",6,11920.951
"H5","GBR","1207","United Kingdom","WLD"," World",2018,"Import",5,69975.457
"H5","GBR","1207","United Kingdom","WLD"," World",2019,"Export",6,15017.275
"H5","GBR","1207","United Kingdom","WLD"," World",2019,"Import",5,66093.917
"H5","GBR","1207","United Kingdom","WLD"," World",2020,"Export",6,15126.483
"H5","GBR","1207","United Kingdom","WLD"," World",2020,"Import",5,67880.675
"H5","GBR","1207","United Kingdom","WLD"," World",2021,"Export",6,15475.71
"H5","GBR","1207","United Kingdom","WLD"," World",2021,"Import",5,71657.249
"H5","GBR","1207","United Kingdom","WLD"," World",2022,"Export",6,11007.463
"H5","GBR","1207","United Kingdom","WLD"," World",2022,"Import",5,80320.522
"H5","GBR","1207","United Kingdom","WLD"," World",2023,"Export",6,11899.337
"H5","GBR","1207","United Kingdom","WLD"," World",2023,"Import",5,72064.99
"H5","GBR","1207","United Kingdom","WLD"," World",2024,"Export",6,14013.324
"H5","GBR","1207","United Kingdom","WLD"," World",2024,"Import",5,70098.438
"H5","GBR","1208","United Kingdom","WLD"," World",2017,"Export",6,2033.255
"H5","GBR","1208","United Kingdom","WLD"," World",2017,"Import",5,12477.572
"H5","GBR","1208","United Kingdom","WLD"," World",2018,"Export",6,2294.243
"H5","GBR","1208","United Kingdom","WLD"," World",2018,"Import",5,12846.597
"H5","GBR","1208","United Kingdom","WLD"," World",2019,"Export",6,2984.829
"H5","GBR","1208","United Kingdom","WLD"," World",2019,"Import",5,14474.66
"H5","GBR","1208","United Kingdom","WLD"," World",2020,"Export",6,4363.335
"H5","GBR","1208","United Kingdom","WLD"," World",2020,"Import",5,22952.281
"H5","GBR","1208","United Kingdom","WLD"," World",2021,"Export",6,4241.854
"H5","GBR","1208","United Kingdom","WLD"," World",2021,"Import",5,21758.525
"H5","GBR","1208","United Kingdom","WLD"," World",2022,"Export",6,4039.155
"H5","GBR","1208","United Kingdom","WLD"," World",2022,"Import",5,19173.084
"H5","GBR","1208","United Kingdom","WLD"," World",2023,"Export",6,4489.809
"H5","GBR","1208","United Kingdom","WLD"," World",2023,"Import",5,18670.132
"H5","GBR","1208","United Kingdom","WLD"," World",2024,"Export",6,3862.526
"H5","GBR","1208","United Kingdom","WLD"," World",2024,"Import",5,24434.673
"H5","GBR","1209","United Kingdom","WLD"," World",2017,"Export",6,68019.406
"H5","GBR","1209","United Kingdom","WLD"," World",2017,"Import",5,170390.067
"H5","GBR","1209","United Kingdom","WLD"," World",2018,"Export",6,57894.138
"H5","GBR","1209","United Kingdom","WLD"," World",2018,"Import",5,185429.245
"H5","GBR","1209","United Kingdom","WLD"," World",2019,"Export",6,59688.351
"H5","GBR","1209","United Kingdom","WLD"," World",2019,"Import",5,169928.026
"H5","GBR","1209","United Kingdom","WLD"," World",2020,"Export",6,68377.888
"H5","GBR","1209","United Kingdom","WLD"," World",2020,"Import",5,231923.943
"H5","GBR","1209","United Kingdom","WLD"," World",2021,"Export",6,38766.187
"H5","GBR","1209","United Kingdom","WLD"," World",2021,"Import",5,186150.454
"H5","GBR","1209","United Kingdom","WLD"," World",2022,"Export",6,38796.682
"H5","GBR","1209","United Kingdom","WLD"," World",2022,"Import",5,163382.384
"H5","GBR","1209","United Kingdom","WLD"," World",2023,"Export",6,46272.962
"H5","GBR","1209","United Kingdom","WLD"," World",2023,"Import",5,184469.147
"H5","GBR","1209","United Kingdom","WLD"," World",2024,"Export",6,40091.827
"H5","GBR","1209","United Kingdom","WLD"," World",2024,"Import",5,206458.115
"H5","GBR","1210","United Kingdom","WLD"," World",2017,"Export",6,22152.061
"H5","GBR","1210","United Kingdom","WLD"," World",2017,"Import",5,61625.423
"H5","GBR","1210","United Kingdom","WLD"," World",2018,"Export",6,26826.294
"H5","GBR","1210","United Kingdom","WLD"," World",2018,"Import",5,45716.021
"H5","GBR","1210","United Kingdom","WLD"," World",2019,"Export",6,26187.441
