"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","IND","2517","India","WLD"," World",2021,"Export",6,81417.371
"H5","IND","2517","India","WLD"," World",2022,"Export",6,87101.17
"H5","IND","2517","India","WLD"," World",2023,"Export",6,75471.679
"H5","IND","2517","India","WLD"," World",2024,"Export",6,75269.078
"H5","IND","2518","India","WLD"," World",2017,"Export",6,5273.322
"H5","IND","2518","India","WLD"," World",2018,"Export",6,4197.857
"H5","IND","2518","India","WLD"," World",2019,"Export",6,4849.316
"H5","IND","2518","India","WLD"," World",2020,"Export",6,4132.767
"H5","IND","2518","India","WLD"," World",2021,"Export",6,4299.252
"H5","IND","2518","India","WLD"," World",2022,"Export",6,4422.128
"H5","IND","2518","India","WLD"," World",2023,"Export",6,3858.917
"H5","IND","2518","India","WLD"," World",2024,"Export",6,2674.982
"H5","IND","2519","India","WLD"," World",2017,"Export",6,2568.298
"H5","IND","2519","India","WLD"," World",2018,"Export",6,3115.172
"H5","IND","2519","India","WLD"," World",2019,"Export",6,2262.087
"H5","IND","2519","India","WLD"," World",2020,"Export",6,2315.589
"H5","IND","2519","India","WLD"," World",2021,"Export",6,2007.531
"H5","IND","2519","India","WLD"," World",2022,"Export",6,3055.326
"H5","IND","2519","India","WLD"," World",2023,"Export",6,2856.137
"H5","IND","2519","India","WLD"," World",2024,"Export",6,4004.141
"H5","IND","2520","India","WLD"," World",2017,"Export",6,4050.404
"H5","IND","2520","India","WLD"," World",2018,"Export",6,9317.334
"H5","IND","2520","India","WLD"," World",2019,"Export",6,8962.917
"H5","IND","2520","India","WLD"," World",2020,"Export",6,7397.591
"H5","IND","2520","India","WLD"," World",2021,"Export",6,10849.169
"H5","IND","2520","India","WLD"," World",2022,"Export",6,7697.38
"H5","IND","2520","India","WLD"," World",2023,"Export",6,4965.396
"H5","IND","2520","India","WLD"," World",2024,"Export",6,3816.916
"H5","IND","2521","India","WLD"," World",2017,"Export",6,57621.935
"H5","IND","2521","India","WLD"," World",2018,"Export",6,61714.212
"H5","IND","2521","India","WLD"," World",2019,"Export",6,62711.905
"H5","IND","2521","India","WLD"," World",2020,"Export",6,28290.067
"H5","IND","2521","India","WLD"," World",2021,"Export",6,45009.867
"H5","IND","2521","India","WLD"," World",2022,"Export",6,27678.967
"H5","IND","2521","India","WLD"," World",2023,"Export",6,22102.501
"H5","IND","2521","India","WLD"," World",2024,"Export",6,16903.966
"H5","IND","2522","India","WLD"," World",2017,"Export",6,4617.952
"H5","IND","2522","India","WLD"," World",2018,"Export",6,3092.151
"H5","IND","2522","India","WLD"," World",2019,"Export",6,3201.738
"H5","IND","2522","India","WLD"," World",2020,"Export",6,2851.498
"H5","IND","2522","India","WLD"," World",2021,"Export",6,3471.627
"H5","IND","2522","India","WLD"," World",2022,"Export",6,3822.128
"H5","IND","2522","India","WLD"," World",2023,"Export",6,4572.694
"H5","IND","2522","India","WLD"," World",2024,"Export",6,4455.287
"H5","IND","2523","India","WLD"," World",2017,"Export",6,271427.569
"H5","IND","2523","India","WLD"," World",2018,"Export",6,294392.167
"H5","IND","2523","India","WLD"," World",2019,"Export",6,150130.172
"H5","IND","2523","India","WLD"," World",2020,"Export",6,118533.417
"H5","IND","2523","India","WLD"," World",2021,"Export",6,86889.406
"H5","IND","2523","India","WLD"," World",2022,"Export",6,52573.403
"H5","IND","2523","India","WLD"," World",2023,"Export",6,45506.8
"H5","IND","2523","India","WLD"," World",2024,"Export",6,52640.576
"H5","IND","2524","India","WLD"," World",2017,"Export",6,12.694
"H5","IND","2524","India","WLD"," World",2018,"Export",6,59.967
"H5","IND","2524","India","WLD"," World",2019,"Export",6,640.613
"H5","IND","2524","India","WLD"," World",2020,"Export",6,247.979
"H5","IND","2524","India","WLD"," World",2021,"Export",6,929.287
"H5","IND","2524","India","WLD"," World",2022,"Export",6,1436.278
"H5","IND","2524","India","WLD"," World",2023,"Export",6,2378.833
"H5","IND","2524","India","WLD"," World",2024,"Export",6,1.379
"H5","IND","2525","India","WLD"," World",2017,"Export",6,62757.872
"H5","IND","2525","India","WLD"," World",2018,"Export",6,86805.255
"H5","IND","2525","India","WLD"," World",2019,"Export",6,57961.631
"H5","IND","2525","India","WLD"," World",2020,"Export",6,56895.911
"H5","IND","2525","India","WLD"," World",2021,"Export",6,71316.571
"H5","IND","2525","India","WLD"," World",2022,"Export",6,54948.158
"H5","IND","2525","India","WLD"," World",2023,"Export",6,58988.058
"H5","IND","2525","India","WLD"," World",2024,"Export",6,65556.252
"H5","IND","2526","India","WLD"," World",2017,"Export",6,54564.778
"H5","IND","2526","India","WLD"," World",2018,"Export",6,54191.176
"H5","IND","2526","India","WLD"," World",2019,"Export",6,51874.625
"H5","IND","2526","India","WLD"," World",2020,"Export",6,50050.019
"H5","IND","2526","India","WLD"," World",2021,"Export",6,71698.534
"H5","IND","2526","India","WLD"," World",2022,"Export",6,73736.485
"H5","IND","2526","India","WLD"," World",2023,"Export",6,57174.74
"H5","IND","2526","India","WLD"," World",2024,"Export",6,58330.19
"H5","IND","2528","India","WLD"," World",2017,"Export",6,12.751
"H5","IND","2528","India","WLD"," World",2018,"Export",6,5.105
"H5","IND","2528","India","WLD"," World",2019,"Export",6,122.07
"H5","IND","2528","India","WLD"," World",2020,"Export",6,61.164
"H5","IND","2528","India","WLD"," World",2021,"Export",6,18.02
"H5","IND","2528","India","WLD"," World",2022,"Export",6,55.063
"H5","IND","2528","India","WLD"," World",2023,"Export",6,126.629
"H5","IND","2528","India","WLD"," World",2024,"Export",6,716.327
"H5","IND","2529","India","WLD"," World",2017,"Export",6,38982.093
"H5","IND","2529","India","WLD"," World",2018,"Export",6,47453.855
"H5","IND","2529","India","WLD"," World",2019,"Export",6,47245.877
"H5","IND","2529","India","WLD"," World",2020,"Export",6,51567.958
"H5","IND","2529","India","WLD"," World",2021,"Export",6,53783.206
"H5","IND","2529","India","WLD"," World",2022,"Export",6,53913.27
"H5","IND","2529","India","WLD"," World",2023,"Export",6,57577.796
"H5","IND","2529","India","WLD"," World",2024,"Export",6,66491.635
"H5","IND","2530","India","WLD"," World",2017,"Export",6,9951.298
"H5","IND","2530","India","WLD"," World",2018,"Export",6,23540.227
"H5","IND","2530","India","WLD"," World",2019,"Export",6,15169.264
"H5","IND","2530","India","WLD"," World",2020,"Export",6,12234.627
"H5","IND","2530","India","WLD"," World",2021,"Export",6,22294.606
"H5","IND","2530","India","WLD"," World",2022,"Export",6,50167.113
"H5","IND","2530","India","WLD"," World",2023,"Export",6,34921.674
"H5","IND","2530","India","WLD"," World",2024,"Export",6,31359.926
"H5","IND","2601","India","WLD"," World",2017,"Export",6,1650766.576
"H5","IND","2601","India","WLD"," World",2018,"Export",6,1253305.993
"H5","IND","2601","India","WLD"," World",2019,"Export",6,2358241.833
"H5","IND","2601","India","WLD"," World",2020,"Export",6,3874948.404
"H5","IND","2601","India","WLD"," World",2021,"Export",6,4159252.186
"H5","IND","2601","India","WLD"," World",2022,"Export",6,1574003.764
"H5","IND","2601","India","WLD"," World",2023,"Export",6,3609021.021
"H5","IND","2601","India","WLD"," World",2024,"Export",6,2705853.932
"H5","IND","2602","India","WLD"," World",2017,"Export",6,249.006
"H5","IND","2602","India","WLD"," World",2018,"Export",6,8275.046
"H5","IND","2602","India","WLD"," World",2019,"Export",6,3930.514
"H5","IND","2602","India","WLD"," World",2020,"Export",6,12250.978
"H5","IND","2602","India","WLD"," World",2021,"Export",6,9473.193
"H5","IND","2602","India","WLD"," World",2022,"Export",6,43.518
"H5","IND","2602","India","WLD"," World",2023,"Export",6,275.429
"H5","IND","2602","India","WLD"," World",2024,"Export",6,1081.159
"H5","IND","2603","India","WLD"," World",2017,"Export",6,42611.404
"H5","IND","2603","India","WLD"," World",2018,"Export",6,117170.14
"H5","IND","2603","India","WLD"," World",2019,"Export",6,409408.479
"H5","IND","2603","India","WLD"," World",2020,"Export",6,92474.925
"H5","IND","2603","India","WLD"," World",2021,"Export",6,61042.1
"H5","IND","2603","India","WLD"," World",2022,"Export",6,39333.671
"H5","IND","2603","India","WLD"," World",2023,"Export",6,40608.075
"H5","IND","2603","India","WLD"," World",2024,"Export",6,22898.008
"H5","IND","2604","India","WLD"," World",2017,"Export",6,0.295
"H5","IND","2604","India","WLD"," World",2018,"Export",6,9.804
"H5","IND","2604","India","WLD"," World",2019,"Export",6,13.464
"H5","IND","2604","India","WLD"," World",2021,"Export",6,70.104
"H5","IND","2604","India","WLD"," World",2023,"Export",6,0.027
"H5","IND","2604","India","WLD"," World",2024,"Export",6,34.931
"H5","IND","2605","India","WLD"," World",2017,"Export",6,0.115
"H5","IND","2605","India","WLD"," World",2019,"Export",6,63.866
"H5","IND","2605","India","WLD"," World",2020,"Export",6,128.274
"H5","IND","2606","India","WLD"," World",2017,"Export",6,44878.238
"H5","IND","2606","India","WLD"," World",2018,"Export",6,34110.459
"H5","IND","2606","India","WLD"," World",2019,"Export",6,29759.759
"H5","IND","2606","India","WLD"," World",2020,"Export",6,12491.479
"H5","IND","2606","India","WLD"," World",2021,"Export",6,14155.621
"H5","IND","2606","India","WLD"," World",2022,"Export",6,7015.139
"H5","IND","2606","India","WLD"," World",2023,"Export",6,2611.872
"H5","IND","2606","India","WLD"," World",2024,"Export",6,10138.328
"H5","IND","2607","India","WLD"," World",2017,"Export",6,0.361
"H5","IND","2607","India","WLD"," World",2018,"Export",6,26.994
"H5","IND","2607","India","WLD"," World",2019,"Export",6,5.526
"H5","IND","2607","India","WLD"," World",2020,"Export",6,12.721
"H5","IND","2607","India","WLD"," World",2021,"Export",6,14.329
"H5","IND","2607","India","WLD"," World",2022,"Export",6,104.253
"H5","IND","2607","India","WLD"," World",2023,"Export",6,34.104
"H5","IND","2607","India","WLD"," World",2024,"Export",6,11.847
"H5","IND","2608","India","WLD"," World",2017,"Export",6,61571.441
"H5","IND","2608","India","WLD"," World",2018,"Export",6,856.246
"H5","IND","2608","India","WLD"," World",2019,"Export",6,425.019
"H5","IND","2608","India","WLD"," World",2020,"Export",6,356.887
"H5","IND","2608","India","WLD"," World",2021,"Export",6,585.853
"H5","IND","2608","India","WLD"," World",2022,"Export",6,1995.999
"H5","IND","2608","India","WLD"," World",2023,"Export",6,1100.676
"H5","IND","2608","India","WLD"," World",2024,"Export",6,26.349
"H5","IND","2609","India","WLD"," World",2018,"Export",6,0.834
"H5","IND","2609","India","WLD"," World",2020,"Export",6,0.007
"H5","IND","2609","India","WLD"," World",2023,"Export",6,0.202
"H5","IND","2610","India","WLD"," World",2017,"Export",6,27597.399
"H5","IND","2610","India","WLD"," World",2018,"Export",6,17079.837
"H5","IND","2610","India","WLD"," World",2019,"Export",6,18562.834
"H5","IND","2610","India","WLD"," World",2020,"Export",6,1642.121
"H5","IND","2610","India","WLD"," World",2021,"Export",6,1546.761
"H5","IND","2610","India","WLD"," World",2022,"Export",6,853.002
"H5","IND","2610","India","WLD"," World",2023,"Export",6,10997.803
"H5","IND","2610","India","WLD"," World",2024,"Export",6,668.321
"H5","IND","2611","India","WLD"," World",2017,"Export",6,341.12
"H5","IND","2611","India","WLD"," World",2018,"Export",6,832.665
"H5","IND","2611","India","WLD"," World",2022,"Export",6,90.835
"H5","IND","2612","India","WLD"," World",2017,"Export",6,0.731
"H5","IND","2612","India","WLD"," World",2022,"Export",6,0.081
"H5","IND","2612","India","WLD"," World",2023,"Export",6,752.75
"H5","IND","2612","India","WLD"," World",2024,"Export",6,20.659
"H5","IND","2613","India","WLD"," World",2017,"Export",6,34.202
"H5","IND","2613","India","WLD"," World",2018,"Export",6,6.924
"H5","IND","2613","India","WLD"," World",2019,"Export",6,43.231
"H5","IND","2613","India","WLD"," World",2020,"Export",6,260.581
"H5","IND","2613","India","WLD"," World",2021,"Export",6,326.37
"H5","IND","2613","India","WLD"," World",2022,"Export",6,2.376
"H5","IND","2613","India","WLD"," World",2023,"Export",6,4952.525
"H5","IND","2613","India","WLD"," World",2024,"Export",6,1623.798
"H5","IND","2614","India","WLD"," World",2017,"Export",6,87779.729
"H5","IND","2614","India","WLD"," World",2018,"Export",6,104923.33
"H5","IND","2614","India","WLD"," World",2019,"Export",6,67968.728
"H5","IND","2614","India","WLD"," World",2020,"Export",6,72407.64
"H5","IND","2614","India","WLD"," World",2021,"Export",6,78218.712
"H5","IND","2614","India","WLD"," World",2022,"Export",6,93789.486
"H5","IND","2614","India","WLD"," World",2023,"Export",6,86594.664
"H5","IND","2614","India","WLD"," World",2024,"Export",6,66905.341
"H5","IND","2615","India","WLD"," World",2017,"Export",6,681.071
"H5","IND","2615","India","WLD"," World",2018,"Export",6,268.884
"H5","IND","2615","India","WLD"," World",2019,"Export",6,181.208
"H5","IND","2615","India","WLD"," World",2020,"Export",6,8.346
"H5","IND","2615","India","WLD"," World",2021,"Export",6,5.611
"H5","IND","2615","India","WLD"," World",2022,"Export",6,3.034
"H5","IND","2615","India","WLD"," World",2023,"Export",6,702.901
"H5","IND","2615","India","WLD"," World",2024,"Export",6,106.66
"H5","IND","2616","India","WLD"," World",2017,"Export",6,4.085
"H5","IND","2616","India","WLD"," World",2018,"Export",6,14.757
"H5","IND","2616","India","WLD"," World",2019,"Export",6,26.313
"H5","IND","2616","India","WLD"," World",2020,"Export",6,61.544
"H5","IND","2616","India","WLD"," World",2021,"Export",6,28.422
"H5","IND","2616","India","WLD"," World",2022,"Export",6,4.516
"H5","IND","2616","India","WLD"," World",2023,"Export",6,0.296
"H5","IND","2616","India","WLD"," World",2024,"Export",6,0.049
"H5","IND","2617","India","WLD"," World",2017,"Export",6,2166.313
"H5","IND","2617","India","WLD"," World",2018,"Export",6,3577.483
"H5","IND","2617","India","WLD"," World",2019,"Export",6,275.556
"H5","IND","2617","India","WLD"," World",2020,"Export",6,331.297
"H5","IND","2617","India","WLD"," World",2021,"Export",6,735.037
"H5","IND","2617","India","WLD"," World",2022,"Export",6,65.197
"H5","IND","2617","India","WLD"," World",2023,"Export",6,25.703
"H5","IND","2617","India","WLD"," World",2024,"Export",6,517.346
"H5","IND","2618","India","WLD"," World",2017,"Export",6,17002.41
"H5","IND","2618","India","WLD"," World",2018,"Export",6,52536.409
"H5","IND","2618","India","WLD"," World",2019,"Export",6,70673.886
"H5","IND","2618","India","WLD"," World",2020,"Export",6,48169.587
"H5","IND","2618","India","WLD"," World",2021,"Export",6,50251.81
"H5","IND","2618","India","WLD"," World",2022,"Export",6,65510.71
"H5","IND","2618","India","WLD"," World",2023,"Export",6,40781.987
"H5","IND","2618","India","WLD"," World",2024,"Export",6,14009.466
"H5","IND","2619","India","WLD"," World",2017,"Export",6,19568.324
"H5","IND","2619","India","WLD"," World",2018,"Export",6,8661.543
"H5","IND","2619","India","WLD"," World",2019,"Export",6,8521.158
"H5","IND","2619","India","WLD"," World",2020,"Export",6,13610.508
"H5","IND","2619","India","WLD"," World",2021,"Export",6,39271.096
"H5","IND","2619","India","WLD"," World",2022,"Export",6,33888.495
"H5","IND","2619","India","WLD"," World",2023,"Export",6,65985.309
"H5","IND","2619","India","WLD"," World",2024,"Export",6,55056.122
"H5","IND","2620","India","WLD"," World",2017,"Export",6,4309.961
"H5","IND","2620","India","WLD"," World",2018,"Export",6,9722.958
"H5","IND","2620","India","WLD"," World",2019,"Export",6,21708.273
